1379527071359;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.298;0.649;-47003;69050;
1379527071392;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.302;0.65;-47003;69050;
1379527071453;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.299;0.65;-10152;-5079;
1379527071500;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.3;0.649;-10163;-5078;
1379527071540;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.299;0.651;-10151;-5088;
1379527071571;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.294;0.653;-10115;-5102;
1379527071602;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.294;0.653;-10115;-5104;
1379527071636;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.295;0.656;-10124;-5132;
1379527071667;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.298;0.655;-10144;-5123;
1379527071700;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.3;0.653;-10158;-5105;
1379527071735;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.297;0.654;-10133;-5111;
1379527071767;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.293;0.654;-10109;-5116;
1379527071802;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.293;0.654;-10107;-5114;
1379527071837;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.294;0.653;-10114;-5102;
1379527071871;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.296;0.652;-10125;-5099;
1379527071907;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.301;0.663;-10166;-5185;
1379527071943;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.315;0.672;-10274;-5250;
1379527071977;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.318;0.68;-10303;-5317;
1379527072021;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.326;0.649;-10364;-5076;
1379527072052;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.328;0.651;-10376;-5089;
1379527072089;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.346;0.66;-10519;-5162;
1379527072122;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.344;0.659;-10506;-5154;
1379527072153;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.351;0.658;-10559;-5145;
1379527072185;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.343;0.657;-10493;-5138;
1379527072216;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.342;0.655;-10486;-5120;
1379527072249;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.342;0.661;-10484;-5168;
1379527072284;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.346;0.664;-10521;-5190;
1379527072318;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.343;0.663;-10493;-5182;
1379527072351;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.338;0.663;-10460;-5180;
1379527072386;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.345;0.67;-10511;-5240;
1379527072419;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.34;0.669;-10469;-5231;
1379527072454;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.338;0.67;-10456;-5236;
1379527072489;1.401298464324817e-43;1.401298464324817e-43;NaN;NaN;NaN;NaN;0;0;0;1.347;0.672;-10528;-5253;
